"code","name","city","state","country","x","y"
"JKR","Janakpur","Janakpur",,"NP","85.9248","26.7327"
"JIR","Jiri","Jiri",,"NP","86.2333","27.6333"
"JMO","Jomsom","Jomsom",,"NP","83.7306","28.7833"
"JUM","Jumla","Jumla",,"NP","82.25","29.25"
"KTM","Tribhuvan","Kathmandu",,"NP","85.3182","27.7029"
"LDN","Lamidanda","Lamidanda",,"NP","86.75","27.3"
"LTG","Langtang","Langtang",,"NP","85.5","28.25"
"LUA","Lukla","Lukla",,"NP","86.7167","27.7"
"XMG","Mahendranagar","Mahendranagar",,"NP","87.11","26.74"
"NGX","Manang","Manang",,"NP","84.1857","28.6419"
"MEY","Meghauli","Meghauli",,"NP","84.21","27.58"
"MWP","Mountain","Mountain",,"NP","85.3333","28"
"KEP","Nepalganj","Nepalganj",,"NP","81.6196","28.0639"
"PPL","Phaplu","Phaplu",,"NP","86.6","27.5167"
"PKR","Pokhara","Pokhara",,"NP","83.9724","28.2636"
"RJB","Rajbiraj","Rajbiraj",,"NP","86.7333","26.5167"
"RHP","Ramechhap","Ramechhap",,"NP","86.087","27.3258"
"RPA","Rolpa","Rolpa",,"NP","82.65","28.7"
"RUK","Rukumkot","Rukumkot",,"NP","82.6167","28.6167"
"RUM","Rumjatar","Rumjatar",,"NP","86.55","27.3"
"FEB","Sanfebagar","Sanfebagar",,"NP","81.2167","29.2333"
"SIH","Silgadi Doti","Silgadi Doti",,"NP","80.9833","29.2667"
"SIF","Simara","Simara",,"NP","85.4917","26.8083"
"IMK","Simikot","Simikot",,"NP","81.8333","29.9667"
"SKH","Surkhet","Surkhet",,"NP","81.6009","28.6018"
"SYH","Syangboche","Syangboche",,"NP","0","0"
"TPJ","Taplejung","Taplejung",,"NP","87.6667","27.35"
"TPU","Tikapur","Tikapur",,"NP","81.1266","28.5829"
"TMI","Tumling Tar","Tumling Tar",,"NP","87.1934","27.3154"
"INU","Nauru Island","Nauru Island",,"NR","166.917","-0.55"
"IUE","Hanan","Niue Island",,"NU","-169.867","-19.0333"
"ALR","Alexandra","Alexandra",,"NZ","169.389","-45.2517"
"AMZ","Ardmore","Ardmore",,"NZ","174.977","-37.033"
"ASG","Ashburton","Ashburton",,"NZ","171.749","-43.9025"
"MHB","Mechanics Bay","Auckland",,"NZ","174.766","-36.8474"
"AKL","Auckland","Auckland",,"NZ","174.766","-36.8474"
"BHE","Blenheim","Blenheim",,"NZ","173.953","-41.5165"
"CHT","Karewa","Chatham Island",,"NZ","176.782","-39.6235"
"CHC","Christchurch","Christchurch",,"NZ","172.637","-43.5316"
"CMV","Coromandel","Coromandel",,"NZ","175.502","-36.7549"
"DGR","Dargaville","Dargaville",,"NZ","173.872","-35.9384"
"DUD","Dunedin","Dunedin",,"NZ","170.503","-45.8746"
"FGL","Fox Glacier","Fox Glacier",,"NZ","170.018","-43.4643"
"WHO","Franz Josef","Franz Josef",,"NZ","170.182","-43.3891"
"GIS","Gisborne","Gisborne",,"NZ","178.026","-38.6664"
"GBZ","Great Barrier Island","Great Barrier Island",,"NZ","175.417","-36.1973"
"GMN","Greymouth","Greymouth",,"NZ","171.206","-42.4576"
"HLZ","Hamilton","Hamilton",,"NZ","175.284","-37.7883"
"HKK","Hokitika Arpt","Hokitika",,"NZ","170.968","-42.7156"
"IVC","Invercargill","Invercargill",,"NZ","168.357","-46.4131"
